produto,eixo,orçamentário,ação,objetivo,prefeitura bairro,unidade,meta física,programa,extra
Famílias Beneficiadas,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Viabilização de Novas Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Valéria,Unidade,340,Habitação e Inclusão Social,800000
Famílias Beneficiadas,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Viabilização de Novas Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Pau da Lima,Unidade,784,Habitação e Inclusão Social,800000
Famílias Beneficiadas,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Viabilização de Novas Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Cajazeiras,Unidade,276,Habitação e Inclusão Social,800000
Famílias Beneficiadas,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Viabilização de Novas Unidades Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Subúrbio/Ilhas,Unidade,760,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Valéria,Unidade,2444,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Pau da Lima,Unidade,6668,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Cabula/Tancredo Neves,Unidade,5772,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Barra/Pituba,Unidade,4000,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Itapuã/Ipitanga,Unidade,4000,Habitação e Inclusão Social,800000
Unidade Habitacional Melhorada,DESENVOLVIMENTO URBANO E ECONÔMICO,232074000,Urbanização - Programas de Melhorias Habitacionais,"Prover soluções para a questão habitacional em Salvador, assegurando condições dignas de moradia aos soteropolitanos, posicionando, inclusive, o Centro Histórico como território atrativo para a moradia. Para alcançar esse objetivo, pretende-se ampliar a oferta de moradia para a população de baixa renda, promover melhorias habitacionais, principalmente nas regiões mais carentes, investir em ações de regularização fundiária, assegurando a cidadania, impulsionando a Habitação de Interesse Social - HIS.",Cajazeiras,Unidade,6668,Habitação e Inclusão Social,800000
